Wall time,Step,Value
1569094939.6556954,1261,92.1875
1569094940.194255,1281,96.875
1569094940.3308897,1287,92.1875
1569094940.5004363,1294,89.0625
1569094940.6251035,1300,90.625
1569094941.0340097,1316,96.875
1569094941.1127982,1319,100.0
1569094941.3741002,1330,85.9375
1569094941.4399242,1333,95.3125
1569094941.5177164,1336,93.75
1569094941.544644,1337,95.3125
1569094947.233531,1385,96.875
1569094947.3013492,1388,95.3125
1569094947.3891144,1391,92.1875
1569094947.4130504,1392,93.75
1569094947.9625804,1414,96.875
1569094948.235851,1426,93.75
1569094948.2827246,1428,95.3125
1569094948.3934288,1432,89.0625
1569094948.498149,1436,92.1875
1569094948.6088526,1440,93.75
1569094953.8599246,1465,95.3125
1569094953.888847,1466,96.875
1569094954.1631134,1477,93.75
1569094954.3595884,1485,93.75
1569094954.460319,1489,92.1875
1569094954.507194,1491,96.875
1569094954.9370446,1508,95.3125
1569094955.289104,1523,95.3125
1569094955.3908305,1527,93.75
1569094960.4745436,1552,98.4375
1569094960.9173594,1568,89.0625
1569094960.9442863,1569,95.3125
1569094961.352196,1584,90.625
1569094961.4419553,1588,98.4375
1569094961.863828,1604,98.4375
1569094961.8927498,1605,98.4375
1569094962.2168837,1618,95.3125
1569094962.4642222,1627,98.4375
1569094962.6058443,1632,95.3125
1569094962.723529,1637,93.75
1569094962.7903502,1640,98.4375
1569094967.4891648,1645,93.75
1569094967.5310485,1648,92.1875
1569094967.8641582,1660,93.75
1569094968.0706067,1668,96.875
1569094968.232174,1675,95.3125
1569094968.4216673,1682,95.3125
1569094975.3172815,1691,98.4375
1569094975.4070423,1695,93.75
1569094975.435964,1696,95.3125
1569094975.4638896,1697,100.0
1569094975.5167484,1699,93.75
1569094975.593544,1702,96.875
1569094975.79301,1709,92.1875
1569094976.0333683,1718,95.3125
1569094976.288685,1728,95.3125
1569094976.3904133,1732,93.75
1569094976.44028,1734,98.4375
1569094976.5210633,1737,92.1875
1569094976.6616874,1742,95.3125
1569094976.7464612,1745,98.4375
1569094976.7743866,1746,87.5
1569094976.8033092,1747,96.875
1569094977.3159373,1766,87.5
1569094977.5483162,1775,90.625
1569094977.7039003,1781,96.875
1569094977.8894038,1788,93.75
1569094982.485287,1789,93.75
1569094982.6897411,1798,90.625
1569094982.8822258,1805,95.3125
1569094983.4327538,1826,98.4375
1569094983.5444558,1830,98.4375
1569094983.7957833,1840,98.4375
1569094983.9015002,1844,95.3125
1569094984.1488402,1853,95.3125
1569094984.4709783,1866,95.3125
1569094984.5517614,1869,100.0
1569094984.7103376,1875,95.3125
1569094984.7582104,1877,98.4375
1569094990.3716412,1911,96.875
1569094990.536201,1917,98.4375
1569094990.983007,1934,100.0
1569094991.0348692,1936,96.875
1569094991.2642548,1944,96.875
1569094991.3510225,1947,95.3125
1569094991.4068727,1949,96.875
1569094991.8935719,1967,96.875
1569094992.2615883,1981,96.875
1569094992.3124526,1983,96.875
1569094997.438385,2001,92.1875
1569094997.5431051,2005,95.3125
1569094997.756534,2013,92.1875
1569094998.2073283,2030,90.625
1569094998.3649077,2036,93.75
1569094998.9952216,2060,96.875
1569094999.292427,2072,96.875
1569094999.313371,2073,100.0
1569094999.399142,2076,98.4375
1569094999.4270668,2077,95.3125
1569094999.480923,2079,93.75
1569094999.5337825,2081,96.875
1569094999.6434882,2085,98.4375
1569095004.2239728,2089,96.875
1569095004.3167226,2094,95.3125
1569095004.3685842,2096,98.4375
1569095004.768515,2111,95.3125
1569095005.703016,2145,93.75
1569095005.8187065,2149,98.4375
1569095005.8735604,2151,96.875
1569095006.0002213,2156,95.3125
1569095006.2385836,2165,93.75
1569095006.5477571,2177,95.3125
1569095006.8200295,2187,93.75
1569095011.518256,2189,96.875
1569095011.5391982,2191,95.3125
1569095011.5611384,2192,93.75
1569095011.6618702,2196,93.75
1569095011.7436514,2199,96.875
1569095011.949102,2207,96.875
1569095012.0578117,2211,95.3125
1569095012.4288192,2225,95.3125
1569095012.5903864,2231,93.75
1569095012.7350004,2236,96.875
1569095012.7589357,2237,98.4375
1569095012.8098037,2239,98.4375
1569095012.8846006,2242,100.0
1569095012.9414485,2244,95.3125
1569095013.0002913,2246,90.625
1569095013.0302138,2247,93.75
1569095013.202749,2254,100.0
1569095013.2815385,2257,93.75
1569095013.4052079,2262,95.3125
1569095013.8909092,2281,96.875
1569095018.7613454,2291,90.625
1569095018.916929,2297,93.75
1569095019.0755064,2303,96.875
1569095019.1931915,2307,92.1875
1569095019.488402,2319,96.875
1569095019.51533,2320,96.875
1569095020.175564,2345,98.4375
1569095020.4159212,2354,100.0
1569095020.875692,2371,96.875
